Sr No,Symbol,Company Name,"Market capitalization as on December 30, 2022
(Rs in Lakhs)"
1,RELIANCE,Reliance Industries Limited,172329584
2,TCS,Tata Consultancy Services Limited,119164326
3,HDFCBANK,HDFC Bank Limited,90797943
4,INFY,Infosys Limited,63466275
5,ICICIBANK,ICICI Bank Limited,62149393
6,HINDUNILVR,Hindustan Unilever Limited,60174207
7,SBIN,State Bank of India,54770342
8,HDFC,Housing Development Finance Corporation Limited,48044948
9,BHARTIARTL,Bharti Airtel Limited,44854794
10,ADANIENT,Adani Enterprises Limited,43985233
11,LICI,Life Insurance Corporation Of India,43300934
12,ITC,ITC Limited,41153010
13,ATGL,Adani Total Gas Limited,40614337
14,BAJFINANCE,Bajaj Finance Limited,39808183
15,KOTAKBANK,Kotak Mahindra Bank Limited,36285747
16,ADANIGREEN,Adani Green Energy Limited,30600339
17,ASIANPAINT,Asian Paints Limited,29619069
18,LT,Larsen & Toubro Limited,29313085
19,ADANITRANS,Adani Transmission Limited,28882894
20,AXISBANK,Axis Bank Limited,28711055
21,HCLTECH,HCL Technologies Limited,28203121
22,DMART,Avenue Supermarts Limited,26356333
23,MARUTI,Maruti Suzuki India Limited,25358413
24,BAJAJFINSV,Bajaj Finserv Limited,24654394
25,SUNPHARMA,Sun Pharmaceutical Industries Limited,24026940
26,TITAN,Titan Company Limited,23060246
27,WIPRO,Wipro Limited,21549260
28,ULTRACEMCO,UltraTech Cement Limited,20089210
29,JSWSTEEL,JSW Steel Limited,18565462
30,ONGC,Oil & Natural Gas Corporation Limited,18461560
31,ADANIPORTS,Adani Ports and Special Economic Zone Limited,17672097
32,NTPC,NTPC Limited,16140101
33,M&M,Mahindra & Mahindra Limited,15529961
34,POWERGRID,Power Grid Corporation of India Limited,14906543
35,COALINDIA,Coal India Limited,13869220
36,TATASTEEL,Tata Steel Limited,13767193
37,HINDZINC,Hindustan Zinc Limited,13592851
38,PIDILITIND,Pidilite Industries Limited,12962656
39,LTIM,LTIMindtree Limited,12912785
40,TATAMOTORS,Tata Motors Limited,12884945
41,SBILIFE,SBI Life Insurance Company Limited,12322678
42,HDFCLIFE,HDFC Life Insurance Company Limited,12169703
43,ADANIPOWER,Adani Power Limited,11553461
44,VEDL,Vedanta Limited,11463842
45,GRASIM,Grasim Industries Limited,11347553
46,IOC,Indian Oil Corporation Limited,10802747
47,HINDALCO,Hindalco Industries Limited,10637096
48,AMBUJACEM,Ambuja Cements Limited,10406767
49,BRITANNIA,Britannia Industries Limited,10375281
50,BAJAJ-AUTO,Bajaj Auto Limited,10231880
51,SIEMENS,Siemens Limited,10065383
52,DABUR,Dabur India Limited,9947566
53,TECHM,Tech Mahindra Limited,9895947
54,BANKBARODA,Bank of Baroda,9603220
55,INDUSINDBK,IndusInd Bank Limited,9460839
56,DLF,DLF Limited,9282431
57,DIVISLAB,Divi's Laboratories Limited,9060974
58,GODREJCP,Godrej Consumer Products Limited,8938868
59,EICHERMOT,Eicher Motors Limited,8827187
60,CIPLA,Cipla Limited,8683707
61,VBL,Varun Beverages Limited,8590618
62,HAL,Hindustan Aeronautics Limited,8464184
63,SHREECEM,SHREE CEMENT LIMITED,8403008
64,AWL,Adani Wilmar Limited,8027465
65,INDIGO,InterGlobe Aviation Limited,7739177
66,SBICARD,SBI Cards and Payment Services Limited,7521429
67,BEL,Bharat Electronics Limited,7302469
68,BPCL,Bharat Petroleum Corporation Limited,7169380
69,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7125055
70,DRREDDY,Dr. Reddy's Laboratories Limited,7056522
71,HAVELLS,Havells India Limited,6891294
72,SRF,SRF Limited,6789166
73,TATAPOWER,Tata Power Company Limited,6636720
74,MARICO,Marico Limited,6592422
75,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,6492230
76,APOLLOHOSP,Apollo Hospitals Enterprise Limited,6438102
77,BAJAJHLDNG,Bajaj Holdings & Investment Limited,6390028
78,MCDOWELL-N,United Spirits Limited,6376618
79,GAIL,GAIL (India) Limited,6315383
80,PNB,Punjab National Bank,6215718
81,ICICIGI,ICICI Lombard General Insurance Company Limited,6073893
82,IOB,Indian Overseas Bank,6067674
83,CANBK,Canara Bank,6046496
